run_id,variant,model,architecture,seed,parameters,selected_epoch,train_mae_mah,validation_mae_mah,validation_rmse_mah,validation_max_underprediction_mah,validation_high_headwind_mae_mah
f0_fixed_time__neural__1024__20260924,f0_fixed_time,neural,1024,20260924.0,18433.0,598.0,5.792432469416806,45.501126300512404,106.21808871716546,532.2371573216778,104.87964867884297
f0_fixed_time__neural__1024__20260925,f0_fixed_time,neural,1024,20260925.0,18433.0,544.0,8.75480417318703,46.31664371945691,106.71359056800945,536.9793429618558,105.79342621140151
f0_fixed_time__neural__1024__20260926,f0_fixed_time,neural,1024,20260926.0,18433.0,560.0,6.412332277637855,46.84200019447863,107.47413838118163,527.6614299956432,111.36796962153696
f0_fixed_time__neural__128-64-32-16__20260924,f0_fixed_time,neural,128-64-32-16,20260924.0,13057.0,600.0,5.67631846897809,57.32702436950916,127.41999526175358,612.3404304122523,123.87730395450515
f0_fixed_time__neural__128-64-32-16__20260925,f0_fixed_time,neural,128-64-32-16,20260925.0,13057.0,465.0,9.560148133625063,51.073966132381415,121.36636671438177,616.1094907753891,103.18951571692072
f0_fixed_time__neural__128-64-32-16__20260926,f0_fixed_time,neural,128-64-32-16,20260926.0,13057.0,557.0,7.640015657968006,46.60814712029246,112.59958230639145,566.4461191933483,100.31244932715303
f0_fixed_time__neural__128-64-32__20260924,f0_fixed_time,neural,128-64-32,20260924.0,12545.0,576.0,8.52133283201118,51.398071183950016,116.43441201175362,580.5948595277255,106.73391606780082
f0_fixed_time__neural__128-64-32__20260925,f0_fixed_time,neural,128-64-32,20260925.0,12545.0,573.0,5.2922069711726785,49.00720379789432,116.93491471862492,581.7209941286919,112.67767468310072
f0_fixed_time__neural__128-64-32__20260926,f0_fixed_time,neural,128-64-32,20260926.0,12545.0,517.0,12.606195504398205,44.13629939490477,111.32089303625649,567.8196604798545,95.44627387489355
f0_fixed_time__neural__128-64__20260924,f0_fixed_time,neural,128-64,20260924.0,10497.0,584.0,5.12725212052951,52.050344666847984,118.36544193079636,604.5572688929578,109.39838232024285
f0_fixed_time__neural__128-64__20260925,f0_fixed_time,neural,128-64,20260925.0,10497.0,566.0,8.064823468562917,50.70035969908216,116.60318560896819,579.0666940732426,113.80223758573764
f0_fixed_time__neural__128-64__20260926,f0_fixed_time,neural,128-64,20260926.0,10497.0,559.0,7.013360459954659,52.63951352450348,126.70802445323193,657.4787313790912,111.43505445625
f0_fixed_time__neural__128__20260924,f0_fixed_time,neural,128,20260924.0,2305.0,584.0,5.171717725837646,69.01343385054957,140.0415566934235,703.0785051689118,128.70346859511278
f0_fixed_time__neural__128__20260925,f0_fixed_time,neural,128,20260925.0,2305.0,597.0,4.837798090452287,66.9411425372463,136.87349297390975,684.7537437372143,141.41501782239823
f0_fixed_time__neural__128__20260926,f0_fixed_time,neural,128,20260926.0,2305.0,599.0,4.939687112976593,61.21954341577473,127.90227967593853,651.2227921566182,122.33070204942267
f0_fixed_time__neural__16-16-16-16-16-16-16-16-16-16__20260924,f0_fixed_time,neural,16-16-16-16-16-16-16-16-16-16,20260924.0,2737.0,598.0,8.334102281343496,97.8447662652245,181.99355176556102,765.7635481270368,191.26392748638168
f0_fixed_time__neural__16-16-16-16-16-16-16-16-16-16__20260925,f0_fixed_time,neural,16-16-16-16-16-16-16-16-16-16,20260925.0,2737.0,324.0,11.911200472368966,106.26374074726296,183.90258805750477,851.810394011487,127.06626516527247
f0_fixed_time__neural__16-16-16-16-16-16-16-16-16-16__20260926,f0_fixed_time,neural,16-16-16-16-16-16-16-16-16-16,20260926.0,2737.0,140.0,21.048991809452367,141.28915141080608,209.54444353792485,747.6369473204622,227.72993455056363
f0_fixed_time__neural__16-16-16-16-16__20260924,f0_fixed_time,neural,16-16-16-16-16,20260924.0,1377.0,584.0,13.361967980129576,79.99265037739659,168.72693820971406,803.0437416899858,164.80489134549484
f0_fixed_time__neural__16-16-16-16-16__20260925,f0_fixed_time,neural,16-16-16-16-16,20260925.0,1377.0,598.0,9.99918381024627,91.35770694257675,192.3351107360596,949.0165323884862,165.55191470833256
f0_fixed_time__neural__16-16-16-16-16__20260926,f0_fixed_time,neural,16-16-16-16-16,20260926.0,1377.0,598.0,7.624639682419591,69.02657430328834,143.3085974871373,698.1644344581432,131.58566580936386
f0_fixed_time__neural__16__20260924,f0_fixed_time,neural,16,20260924.0,289.0,599.0,15.603725785524894,65.01439453229584,132.90535373636493,662.1931243250656,126.12575057408878
f0_fixed_time__neural__16__20260925,f0_fixed_time,neural,16,20260925.0,289.0,377.0,26.792951516521814,74.3696360411959,133.02357145168503,609.2344718842674,125.04851864492535
f0_fixed_time__neural__16__20260926,f0_fixed_time,neural,16,20260926.0,289.0,500.0,21.037735296179054,84.51424502387164,140.92225533399136,632.7921702797612,146.23246879809452
f0_fixed_time__neural__256__20260924,f0_fixed_time,neural,256,20260924.0,4609.0,595.0,7.748569696397277,52.68448455310714,111.73652541810344,545.3542783750331,122.84172551653907
f0_fixed_time__neural__256__20260925,f0_fixed_time,neural,256,20260925.0,4609.0,598.0,5.500074339149195,54.35536270956691,120.34807553219812,607.4856867882313,119.43523315802943
f0_fixed_time__neural__256__20260926,f0_fixed_time,neural,256,20260926.0,4609.0,484.0,6.470792886834934,54.199760752159435,122.54352901763681,630.6151237103118,116.71676778087489
f0_fixed_time__neural__32-16__20260924,f0_fixed_time,neural,32-16,20260924.0,1089.0,531.0,7.782563988037414,71.23277379477678,155.18133622927735,759.3383947901584,151.31146230630065
f0_fixed_time__neural__32-16__20260925,f0_fixed_time,neural,32-16,20260925.0,1089.0,598.0,8.475720952096458,89.58816630613575,161.5665879737819,784.6756181631563,177.8421094500043
f0_fixed_time__neural__32-16__20260926,f0_fixed_time,neural,32-16,20260926.0,1089.0,598.0,7.792313076412526,76.18708272463121,141.30116307586866,647.1787613217812,141.27463180894523
f0_fixed_time__neural__32__20260924,f0_fixed_time,neural,32,20260924.0,577.0,589.0,12.19286195480468,75.91156101923953,146.8541811492276,690.2688908341456,156.41370893256484
f0_fixed_time__neural__32__20260925,f0_fixed_time,neural,32,20260925.0,577.0,598.0,8.69768719473723,58.96074737628284,123.20302232155463,618.7873438008455,97.2788263292395
f0_fixed_time__neural__32__20260926,f0_fixed_time,neural,32,20260926.0,577.0,432.0,14.187974266927275,79.93687909451772,152.64269293354351,744.7356070926076,146.72406111323804
f0_fixed_time__neural__512__20260924,f0_fixed_time,neural,512,20260924.0,9217.0,595.0,7.707821455076988,50.81447386649434,111.38535931102746,548.8543263056031,114.0805601754823
f0_fixed_time__neural__512__20260925,f0_fixed_time,neural,512,20260925.0,9217.0,586.0,6.444158745235768,51.40992708315006,114.78873452654241,565.2711141167647,115.06794158244394
f0_fixed_time__neural__512__20260926,f0_fixed_time,neural,512,20260926.0,9217.0,582.0,7.9023881573129575,45.33329994773867,106.76690898862978,538.5404644024038,106.0376905662977
f0_fixed_time__neural__64-32-16__20260924,f0_fixed_time,neural,64-32-16,20260924.0,3713.0,598.0,5.195366338236625,64.09094387791086,137.3241073439778,663.0921313343069,144.4975726293085
f0_fixed_time__neural__64-32-16__20260925,f0_fixed_time,neural,64-32-16,20260925.0,3713.0,597.0,6.481518790685609,70.32676887462013,149.37782585379588,719.560049766877,150.371374011631
f0_fixed_time__neural__64-32-16__20260926,f0_fixed_time,neural,64-32-16,20260926.0,3713.0,577.0,5.4264608136571475,45.3677711446651,116.24159329076258,610.6572718424659,102.43000142911205
f0_fixed_time__neural__64-32__20260924,f0_fixed_time,neural,64-32,20260924.0,3201.0,598.0,5.633653175750663,59.865764582498755,127.90060105201894,634.8704333959099,134.8705799501358
f0_fixed_time__neural__64-32__20260925,f0_fixed_time,neural,64-32,20260925.0,3201.0,598.0,5.768407311179552,57.890775992944036,125.07358277576309,617.8619230919603,119.87293678914436
