name,mae_mah,median_absolute_error_mah,p95_absolute_error_mah,rmse_mah,wape,r_squared,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah,max_underprediction_mah,group_h_n,group_h_mae_mah,group_h_max_underprediction_mah,group_g_n,group_g_mae_mah,group_g_max_underprediction_mah,est_headwind_ge_3_n,est_headwind_ge_3_mae_mah,est_headwind_ge_3_max_underprediction_mah,mae_bootstrap_95__estimate,mae_bootstrap_95__ci95_low,mae_bootstrap_95__ci95_high
A_f2_ridge,44.79870555126244,34.166882462540116,114.4950625968306,59.839352493816946,0.024761186598061292,0.9872648530146458,13.442871148059206,15.677917201601616,85.38024477570663,176.70250155192616,30,53.961853016836265,119.66218286778303,30,35.63555808568861,176.70250155192616,35,58.06954487648702,176.70250155192616,44.79870555126244,35.246974224467,55.10853370924886
C_f3_tilt_ridge,38.29968618715395,24.211443092670265,129.94231477978423,54.50325684171788,0.021169041932297194,0.9894348638155613,10.84238782604715,13.728649180553406,65.1979884789362,149.17709636582003,30,52.0977507396035,149.17709636582003,30,24.501621634704424,65.03695455314187,35,52.37664251055785,149.17709636582003,38.29968618715395,28.985158649775283,48.353942923372635
E_f3_forest_ridge,41.6391870268674,23.560901818986622,150.05131878722804,62.908570766699185,0.023014854270377055,0.9859249538414366,10.324146317255757,15.657520354805818,52.21890772698092,170.29666115026384,30,55.49395867073763,170.29666115026384,30,27.784415382997157,71.0713044882009,35,55.28611274138291,170.29666115026384,41.6391870268674,30.51034264363105,54.65664094417375
nominal_time_x_current,195.50541418793193,156.85917154476851,604.7142456903154,263.85638014079103,0.10805995356493561,0.7523915902650417,93.51946566473164,50.99297426160017,216.184341048424,305.58722745336786,30,253.31901730241847,17.86310724550208,30,137.6918110734455,305.58722745336786,35,248.4508784142787,80.05123914968885,195.50541418793193,152.3336779980323,242.05031576276707
B_f2_neural_mean,38.18821892993127,23.627683012110197,122.10298305329398,56.03897268036955,0.021107431635265135,0.9888310969522504,12.105571882454466,13.041323523738397,44.41823120591865,187.6078661018969,30,44.94461661572008,174.21078486310785,30,31.431821244142448,187.6078661018969,35,52.58167986597804,187.6078661018969,38.18821892993127,28.4811053057536,49.037355058563094
D_f3_tilt_neural_mean,38.894195618028576,24.54681439356557,115.81536607171563,55.04048042265325,0.021497639796254426,0.9892255620886072,13.640071899611751,12.627061859208409,88.1485352948268,127.28707389278225,30,51.66185142062663,127.28707389278225,30,26.1265398154305,123.56997729406294,35,55.100724720809495,127.28707389278225,38.894195618028576,29.65938779280209,49.48586602977445
B_f2_neural_seed_20260924,42.68274396886227,26.260180748606103,125.31093069860394,60.60013117441306,0.023591650136428794,0.9869389732382499,14.221540842859687,14.230601563001297,72.31405170885473,191.43074820498987,30,54.237733770669266,158.54473756868174,30,31.127754167055297,191.43074820498987,35,59.963444094228294,191.43074820498987,42.68274396886227,32.40959966340912,54.14823737745918
D_f3_tilt_neural_seed_20260924,46.67377127851059,36.680298531964695,120.51920033231954,60.40352081811028,0.025797574854924947,0.9870235858418708,18.76572615763096,13.95402256043982,68.20139616999565,150.12145412199789,30,56.6716400813915,95.32469210824502,30,36.67590247562969,150.12145412199789,35,60.835031209856346,150.12145412199789,46.67377127851059,37.27923658907803,56.84489237932768
B_f2_neural_seed_20260925,39.44209424992049,25.396863873677603,123.46003724003133,58.781364016685785,0.021800474891468816,0.9877111990397255,6.1959539865878694,16.62307013166631,56.60145310898579,191.55321067603882,30,44.73929019589679,178.73435190619375,30,34.144898303944196,191.55321067603882,35,53.60260091206872,191.55321067603882,39.44209424992049,28.92594311647927,51.00302617659485
D_f3_tilt_neural_seed_20260925,38.457958808823086,24.315992860735264,127.09886095761273,55.70496044373487,0.021256522538495276,0.9889638414479331,6.136659146331057,16.160649831246015,105.73422332932641,139.14051190334658,30,49.712971363903115,139.14051190334658,30,27.20294625374306,125.06615920376998,35,53.68592755393195,139.14051190334658,38.457958808823086,28.838296677343575,48.98316154743703
B_f2_neural_seed_20260926,45.29578127367765,38.39644008934431,113.91749796115467,61.141990617044854,0.025035930802489365,0.9867043571965318,15.899220817915865,14.69828022788089,78.76949756531934,185.3532651144485,30,52.37336149549707,185.3532651144485,30,38.21820105185822,179.83963942466153,35,60.19682252183989,185.3532651144485,45.29578127367765,35.41726719348394,56.02989099571128
D_f3_tilt_neural_seed_20260926,39.86536530570491,25.90915157658401,109.19261006560474,55.97384122565564,0.022034425704664608,0.9888570440433433,16.01783039487329,11.92376745541581,79.90754647043674,147.3960176667547,30,51.99257456752428,147.3960176667547,30,27.738156043885542,95.5223185564214,35,56.06920629521744,147.3960176667547,39.86536530570491,30.208697406936704,50.256507701827125
