run_id,split,middle_route_duration_s,middle_route_ground_speed_m_s,median_radial_ground_speed_m_s,median_target_ground_speed_m_s,median_lean_deg,lean_near_30deg_fraction,median_altitude_delta_m,n_middle_position_samples
train-h-0001-run-001,train,47.8540583527174,7.892673138751879,7.9048235294772216,10.509072925747281,29.996710570419836,1.0,-0.0016021728515625,478
train-h-0002-run-001,train,21.726147672976168,5.739094659165413,5.765002646123921,10.51603863635009,29.990301246722673,1.0,-0.00994110107421875,217
train-h-0003-run-001,train,65.23124128612454,5.395021017996838,5.415728184896966,10.52274176181442,29.98995147477273,1.0,-0.010540008544921875,652
train-h-0004-run-001,train,81.10340919495482,5.661298716970635,5.677174629846665,10.515922223160588,29.99372324071614,1.0,-0.006656646728515625,811
train-h-0005-run-001,train,42.55593134578672,8.531137448829208,8.533943419015962,10.50659642039792,30.002594889583577,1.0,-0.01175689697265625,426
train-h-0006-run-001,train,27.181298451839268,7.566036327690086,7.57402996305063,10.508246755294133,29.996886691190326,1.0,-0.004486083984382105,271
train-h-0007-run-001,train,92.52440572255509,7.744778781124938,7.744510794764929,10.507855886372674,30.002410828938004,1.0,-0.005130767822265625,925
train-h-0008-run-001,train,103.2405451262261,7.2270375172085135,7.226951562941147,10.5047286694095,30.001553543926132,1.0,-0.001010894775390625,1033
train-h-0009-run-001,train,83.47757247724917,7.320958624228176,7.331448136098901,10.508518290271564,29.99733474343416,1.0,-0.0058441162109375,835
train-h-0010-run-001,train,104.84647517035319,5.697998631009921,5.709457240894304,10.523369206941048,29.990948663497466,1.0,-0.0053863525390625,1049
train-h-0011-run-001,train,80.44100861797341,6.346822124530234,6.341781926076334,10.504176432380966,30.00578121055662,1.0,-0.002822875976576711,804
train-h-0012-run-001,train,55.76501007251636,8.867494595670879,8.890456089843111,10.525237387420223,29.989939014850453,1.0,-0.009761810302734375,558
train-h-0013-run-001,train,33.1986380499776,8.947701945603177,8.96616939911743,10.518657961243754,29.990515536313058,1.0,-0.009077072143561793,332
train-h-0014-run-001,train,84.88604821073676,5.148320841763437,5.169833861504583,10.531597379567033,29.99396235828342,1.0,-0.01020050048828125,849
train-h-0015-run-001,train,35.708314100791796,6.527366172830735,6.527437427800726,10.52083818304823,30.00635275254066,1.0,-0.01016998291015625,357
train-h-0016-run-001,train,27.408380676648704,7.023028239846228,7.046021385005135,10.527757247245924,29.98888167758345,1.0,-0.011781692504882812,274
train-h-0017-run-001,train,53.716995899457885,7.38616798132145,7.405412070052362,10.521218625674521,29.991061932999358,1.0,-0.004764556884765625,537
train-h-0018-run-001,train,96.59187053852278,5.529065985323173,5.52401857709518,10.502875652509822,30.006904583692723,1.0,-0.007595062255859375,966
train-h-0019-run-001,train,44.58721246681358,7.124795042684324,7.151400728505052,10.525767728566837,29.988851706174827,1.0,-0.012212753295898438,446
train-h-0020-run-001,train,80.11420464040961,8.239264575979282,8.263633084490172,10.522379391046991,29.993132869984517,1.0,-0.00658416748046875,801
train-h-0021-run-001,train,103.79006824271414,8.141204568227366,8.143122404370217,10.500999591535802,29.999195765691866,1.0,-0.004116058349609375,1038
train-h-0022-run-001,train,96.02672469283868,5.829212192878582,5.826268105080086,10.51577238917104,30.00292301037853,1.0,-0.0074462890625,960
train-h-0023-run-001,train,77.65307507908096,8.941011241872443,8.957831452336702,10.519788662383665,29.989367258125835,1.0,-0.004173278808579539,777
train-h-0024-run-001,train,38.64245158945951,6.195773033450431,6.194693666159159,10.500190866670014,30.000231221214023,1.0,-0.012241363525390625,386
train-h-0026-run-001,train,87.53550117887755,7.24952833837365,7.2651950949245165,10.518642431062123,29.99236753563488,1.0,-0.006237030029296875,876
train-h-0027-run-001,train,29.998543714550067,8.648532551772625,8.655290592957488,10.511861585888992,29.994210650944453,1.0,-0.006011962890625,300
train-h-0028-run-001,train,55.44563606323186,8.816346269551287,8.821660708271658,10.504162068500573,30.00319899268412,1.0,-0.001293182373046875,555
train-h-0029-run-001,train,115.085018123341,7.69928519834232,7.700924339589746,10.502773603238886,29.99829516623859,1.0,-0.0030364990234375,1151
train-h-0030-run-001,train,82.55372530632346,7.063352077752148,7.086484676710082,10.525169505390396,29.99274544081856,1.0,-0.0059356689453125,826
train-h-0031-run-001,train,119.87838644003364,6.8569711101970166,6.851459845654735,10.488392600508849,30.009292416102028,1.0,-0.00568389892578125,1199
train-h-0032-run-001,train,39.919919875453616,7.286217028947182,7.304334125919651,10.530952403660539,29.990888161823854,1.0,-0.001739501953125,399
train-h-0033-run-001,train,122.00544994783945,6.4967968278596615,6.495954545743871,10.496548181217378,29.999386724343356,1.0,-0.0015201568603515625,1220
train-h-0034-run-001,train,113.89412460555565,6.819814121828465,6.819994984221639,10.513452975501853,29.995196913914647,1.0,-0.0056915283203125,1138
train-h-0035-run-001,train,173.41026348298237,5.047391194608205,5.024263672502585,10.487257624982089,30.00392955443189,1.0,-0.00598907470703125,1734
train-h-0036-run-001,train,78.32108029558361,5.487310711276898,5.504415993201064,10.515748990197903,29.989484138113493,1.0,-0.00159454345703125,783
train-h-0037-run-001,train,93.9082252031709,8.841387032093907,8.842434582787702,10.49686050265665,30.004461169936373,1.0,-0.006217956542982961,939
train-h-0038-run-001,train,16.70986128610943,8.770379142124074,8.785080700788498,10.452646895587472,30.00016667341634,1.0,-0.01044464111328125,167
train-h-0039-run-001,train,91.4820688672927,7.436033015348861,7.452920906721525,10.523255195430757,29.988508569173995,1.0,-0.019927978515625,915
train-h-0040-run-001,train,118.69154156200105,6.18459543780798,6.189333692234155,10.516845870318988,30.00485789502011,1.0,-0.00792694091796875,1187
