model,shape,parameters,mae_mah,seed_mae_min,seed_mae_max,strong_headwind_mae_mah,max_underprediction_mah,median_epochs,vs_1024_estimate,vs_1024_ci95_low,vs_1024_ci95_high,vs_ridge_estimate,vs_ridge_ci95_low,vs_ridge_ci95_high
network 16,16,721,25.93849840282604,30.656513577184295,40.90456250804741,48.104231212222736,229.24497951870126,599.0,4.077851541915325,1.715641336384466,6.458247491121528,3.3761109951216723,0.6907661467736254,6.023534799710887
network 32,32,1441,23.27950060679574,25.753591136511645,30.9074707540614,47.74996769287174,235.19695388039418,596.0,1.418853745885031,-0.5127610721481514,3.299329262788666,0.7171131990913782,-1.7809191789436594,3.1922242313129807
network 64,64,2881,22.451165285361444,24.626059189738,27.997825101776627,51.13683673335305,220.2559967826919,596.0,0.5905184244507335,-1.1520887876327524,2.3674511258288407,-0.11122212234291923,-2.4919797120745915,2.223811065281221
network 128,128,5761,22.01502390185139,25.124199667171883,26.790238126697187,48.5158262047841,196.37516053922536,588.0,0.15437704094067786,-1.485344532362116,1.8188883058096463,-0.547363505852975,-2.9348462478771737,1.826004491760684
network 256,256,11521,20.45550672857275,23.13822199722925,24.743146497759366,44.593926369445796,214.7459409228386,527.0,-1.4051401323379593,-3.100318787483441,0.31359854037882984,-2.106880679131612,-4.446701943110753,0.22725140328045074
network 512,512,23041,20.762201720479222,22.89638179527494,24.44980858807941,49.18834023405534,197.7635171149509,452.0,-1.098445140431487,-2.656156212845355,0.45202516419907574,-1.8001856872251398,-4.159301349547671,0.5269374217670025
network 1024,1024,46081,21.86064686091071,24.734161036208484,26.49957677688837,51.71662758331655,204.06082457533785,394.0,0.0,0.0,0.0,-0.7017405467936528,-3.015655307096719,1.6439525765271743
network 32-16,32-16,1953,22.395713871654177,25.53154433323658,27.58448712510854,53.257915279405545,206.97250962245243,592.0,0.5350670107434687,-1.3576654897531104,2.4423648229914208,-0.1666735360501841,-2.347918432322346,2.011309309083715
network 64-32,64-32,4929,22.890378652923914,24.968086969222824,27.058110045542037,53.4896935318901,171.24257857323346,591.0,1.0297317920132023,-0.8405164033848169,2.932103537180582,0.3279912452195496,-2.193822144678142,2.85234680402208
network 128-64,128-64,13953,22.27524006965327,24.785570395324218,25.296388947353933,52.31984009651499,225.34545431872948,505.0,0.41459320874256345,-1.2757266331184671,2.125995937528671,-0.2871473380510894,-2.8366703110465434,2.1750903861516004
network 128-64-32,128-64-32,16001,22.135735592603933,23.980515691248275,24.74484524098707,52.610451641493306,209.01754878212296,406.0,0.2750887316932205,-1.589054338763704,2.1641011900429996,-0.4266518151004323,-2.880899504348574,2.044849622472275
network 64-32-16,64-32-16,5441,21.802638781737276,23.744031153291612,27.20393088534999,51.60710384147597,202.56801517306985,582.0,-0.05800807917343512,-1.892917180739902,1.7672491347008694,-0.7597486259670879,-3.2589562450799137,1.6792558315143538
network 128-64-32-16,128-64-32-16,16513,21.98569818087275,23.457518595780808,25.323115700625202,56.56725963262665,200.93175302086138,430.0,0.1250513199620388,-1.863370225120005,2.0846410060800764,-0.576689226831614,-3.040300355193624,1.9233619717022503
network 5x16,5x16,1809,21.97422759021275,23.382435995769935,31.21596601542594,53.98544511606746,230.7577763677823,597.0,0.1135807293020399,-1.959775329012846,2.2097877821214125,-0.588159817491613,-3.062892940228283,1.9716944744890308
network 10x16,10x16,3169,50.82233579222369,37.209751504392756,89.95006454547897,85.46046228922668,304.05229218015165,585.0,28.961688931312988,23.66991600047836,34.58155741942512,28.25994838451933,22.743203034737512,34.1373560636122
Ridge,linear,44,22.562387407704364,,,50.60784424735919,193.41744292111616,,0.7017405467936528,-1.6176713627804002,3.0496608866355253,0.0,0.0,0.0
