inputs,model,mae_mah,ci95_low,ci95_high,mae_percent,strong_headwind_mae_mah,max_underprediction_mah
F0,Ridge,92.14157099499835,83.73775241760777,101.36560980568484,5.781147474918927,147.30360206800611,637.6384004916663
F0,XGBoost,66.04868116684337,59.11274440912533,73.60134003519141,3.8563600090797325,112.43065921373604,583.3357696533203
F0,network 256,33.33770412510855,28.746905563873344,38.256391531884404,1.8849093556548235,71.32848744993255,308.7250660474533
F1,Ridge,74.67353085755938,67.09759435532,82.90084919359056,4.763798152315632,125.23406181782747,493.1783203489531
F1,XGBoost,66.06172264930372,60.0786031661144,72.41422858831464,3.926403369483728,99.87136947860029,359.2018188476559
F1,network 256,33.0539204517119,29.378679820997426,36.997522632467955,1.916265357967728,63.604580164078165,269.14829008033075
F2,Ridge,33.66610326161604,30.21557040798821,37.3121109630419,2.0074583294593307,58.725562292404014,198.24839016526857
F2,XGBoost,51.604049730891454,46.622599065910215,57.27614099980383,3.0142791645032148,75.50600286076171,515.3543243408203
F2,network 256,23.739814677600275,21.061441897688137,26.690737527445915,1.3911302741455969,41.46686701739634,174.0944771020495
F3,Ridge,25.067537012967257,22.284830500012788,28.04777942675254,1.4378940916805423,48.69870626322297,172.55949519094065
F3,XGBoost,28.423945634044212,25.25064277873041,31.77441379089217,1.6413497517001026,45.444240480593336,174.09934082031305
F3,network 256,20.937447182951367,18.59811269611563,23.45447243696951,1.2088357018385463,37.37145439867523,129.691531490967
