within,first,second,estimate,ci95_low,ci95_high
Ridge,F3,F0,-67.07403398203108,-75.41303788463259,-59.184664547557475
Ridge,F3,F1,-49.60599384459212,-57.13731261097758,-42.20914208478934
Ridge,F3,F2,-8.598566248648774,-11.418910891758795,-5.821734206969648
Ridge,F2,F0,-58.4754677333823,-66.75011477529492,-50.498798114341625
XGBoost,F3,F0,-37.62473553279915,-44.897159724322805,-30.956051732536434
XGBoost,F3,F1,-37.637777015259495,-43.434217905653746,-31.978149239935476
XGBoost,F3,F2,-23.180104096847238,-28.168512816055276,-18.397560524516713
XGBoost,F2,F0,-14.444631435951914,-21.3131194046849,-7.77556325153357
network 256,F3,F0,-12.400256942157183,-16.53225140827126,-8.548172207772733
network 256,F3,F1,-12.116473268760545,-15.384977241066494,-9.113869204052541
network 256,F3,F2,-2.8023674946489097,-4.793382419547813,-0.8191197253614301
network 256,F2,F0,-9.597889447508273,-13.98805826395375,-5.529051506861366
F0,network 256,Ridge,-58.8038668698898,-66.32072809301417,-51.55790577660242
F0,network 256,XGBoost,-32.71097704173482,-38.47486546820384,-26.943302147527167
F0,Ridge,XGBoost,26.092889828154977,17.662457955189442,34.25269310341379
F1,network 256,Ridge,-41.619610405847475,-48.40137545373509,-35.08184990900892
F1,network 256,XGBoost,-33.0078021975918,-38.62037676060807,-27.390405659417493
F1,Ridge,XGBoost,8.611808208255674,0.5697155606963955,16.93018698626874
F2,network 256,Ridge,-9.926288584015758,-13.264500318038895,-6.604015192370356
F2,network 256,XGBoost,-27.86423505329118,-33.26734037618303,-22.868035816253606
F2,Ridge,XGBoost,-17.93794646927542,-23.210483809767943,-12.810268681496758
F3,network 256,Ridge,-4.130089830015892,-6.248944314264403,-2.1019025133912383
F3,network 256,XGBoost,-7.486498451092847,-10.698876477865953,-4.3736980965447225
F3,Ridge,XGBoost,-3.356408621076956,-6.3282229991032874,-0.49720651302755464
