variable,bin,model,n_flights,small_sample_warning,mae_mah,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah
true_wind_speed,high,training_mean,13,False,392.3680980082919,-57.636181059049996,225.00213953367094,851.6867445644807
true_wind_speed,mid,training_mean,17,False,393.72643930657057,-51.63877846181042,222.6826088841905,688.4778749355746
true_wind_speed,low,training_mean,9,False,398.8269306516292,230.9387716233988,83.9440795141152,361.803502376981
true_wind_speed,high,nominal_time_x_current,13,False,173.02904920452073,-102.79174313185537,137.91039616818804,457.97708607204635
true_wind_speed,mid,nominal_time_x_current,17,False,192.82949637393187,-177.5476832672265,185.18858982057918,371.6904212757398
true_wind_speed,low,nominal_time_x_current,9,False,113.27849431018215,-112.98699205799748,113.13274318408982,218.9711074316203
true_wind_speed,high,px4_style_multicopter_time_x_current,13,False,217.79438953216183,-217.79438953216183,217.79438953216183,517.2146179200438
true_wind_speed,mid,px4_style_multicopter_time_x_current,17,False,124.8497730942105,-124.8497730942105,124.8497730942105,242.24035303989717
true_wind_speed,low,px4_style_multicopter_time_x_current,9,False,113.67493939317545,-113.67493939317545,113.67493939317545,162.79294962170064
true_wind_speed,high,ridge__f0_route_and_wind,13,False,113.11411020891968,5.108316840157503,54.002896684381085,219.04719004950812
true_wind_speed,mid,ridge__f0_route_and_wind,17,False,43.23711224772526,-4.091698632902528,23.664405440313892,103.5174353002535
true_wind_speed,low,ridge__f0_route_and_wind,9,False,59.634944544690974,16.146991674360986,21.743976435164996,71.7712577098253
true_wind_speed,high,neural_network__f0_route_and_wind,13,False,58.56678796750888,10.71435943869899,23.926214264404944,125.97497695999724
true_wind_speed,mid,neural_network__f0_route_and_wind,17,False,30.56616659101347,21.902688718882843,4.331738936065315,36.56984693677974
true_wind_speed,low,neural_network__f0_route_and_wind,9,False,25.95400766939651,12.77527310671318,6.589367281341664,33.83539305253596
true_wind_speed,high,xgboost__f0_route_and_wind,13,False,82.4502021571291,-15.438554771311775,48.94437846422044,209.61415283203104
true_wind_speed,mid,xgboost__f0_route_and_wind,17,False,55.61567484290492,-20.26539743708124,37.94053613999308,111.78602539062464
true_wind_speed,low,xgboost__f0_route_and_wind,9,False,34.49698164198138,-4.3678109063042205,19.4323962741428,44.704276733398416
